Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Hatteras Financial,0.5,0.3,0.2,26.4,2.7,USA,North America,37.09024,-95.712891
Gecina,0.9,0.3,0.6,14.8,7.1,France,Europe,46.227638,2.213749
Sumitomo Rubber,8.2,0.4,7.8,8.5,4.3,Japan,Asia,36.204824,138.252924
Kawasaki Kisen Kaisha,11.7,-0.5,12.2,12.3,2.2,Japan,Asia,36.204824,138.252924
Atco,4.4,0.4,4,14.4,5,Canada,North America,56.130366,-106.346771
Maanshan Iron & Steel,11.8,-0.6,12.4,12.2,2.3,China,Asia,35.86166,104.195397
Quinenco,4.1,0.2,3.9,46.3,5,Chile,South America,-35.675147,-71.542969
Mizrahi Tefahot Bank,2.1,0.3,1.8,43.4,2.4,Israel,Asia,31.046051,34.851612
TCL Corp,11,0.1,10.9,12.8,3.4,China,Asia,35.86166,104.195397
Shandong Gold-Mining,6.3,0.3,6,2,7.6,China,Asia,35.86166,104.195397
Advance Auto Parts,6.2,0.4,5.8,4.6,5.9,USA,North America,37.09024,-95.712891
E-L Financial,3,0.5,2.5,16.7,2.1,Canada,North America,56.130366,-106.346771
Western Refining,9.5,0.4,9.1,2.5,3.1,USA,North America,37.09024,-95.712891
Banco de Valencia,1.2,-4.7,5.9,28.3,6,Spain,Europe,40.463667,-3.74922
Hiroshima Bank,1.5,0.2,1.3,80.5,2.9,Japan,Asia,36.204824,138.252924
NHPC,1.4,0.6,0.8,11.8,4.6,India,Asia,20.593684,78.96288
Hachijuni Bank,2,0.2,1.8,80.2,2.9,Japan,Asia,36.204824,138.252924
Doosan Infracore,7.2,0.4,6.8,10.5,2.3,South Korea,Asia,35.907757,127.766922
Grifols,3.5,0.3,3.2,7.4,12.1,Spain,Europe,40.463667,-3.74922
Gunma Bank,1.5,0.2,1.3,78.5,2.7,Japan,Asia,36.204824,138.252924
Jtekt,12.7,0.2,12.5,11.4,3.3,Japan,Asia,36.204824,138.252924
Soriana,8,0.3,7.7,5.7,6.8,Mexico,North America,23.634501,-102.552784
Usiminas,6.2,-0.3,6.5,15.3,5.3,Brazil,South America,-14.235004,-51.92528
Chugoku Bank,1.4,0.2,1.2,76.7,3.2,Japan,Asia,36.204824,138.252924
Bankinter,3.7,0.2,3.5,76.5,3.3,Spain,Europe,40.463667,-3.74922
Waters,1.8,0.5,1.3,3.2,8.1,USA,North America,37.09024,-95.712891
Netease,1.3,0.6,0.7,3.1,6.8,China,Asia,35.86166,104.195397
Jizhong Energy Resources,6,0.5,5.5,6,4.9,China,Asia,35.86166,104.195397
Novozymes,2,0.4,1.6,2.6,11,Denmark,Europe,56.26392,9.501785
URS,11,0.3,10.7,8.8,3.5,USA,North America,37.09024,-95.712891
Banca Popolare di Milano,2,-0.6,2.6,69.3,2,Italy,Europe,41.87194,12.56738
ARM Holdings,0.9,0.3,0.6,2.3,19.6,UK,Europe,55.378051,-3.435973
Iyo Bank,1.4,0.2,1.2,68.9,2.8,Japan,Asia,36.204824,138.252924
Oil India,1.9,0.7,1.2,4.5,6.1,India,Asia,20.593684,78.96288
Bendigo & Adelaide Bank,3.8,0.2,3.6,58.5,4.4,Australia,Oceania,-25.274398,133.775136
Halyk Bank,1.6,0.5,1.1,16,2,Kazakhstan,Europe,48.019573,66.923684
Pacific Rubiales Energy,3.9,0.5,3.4,7.1,7.1,Canada,North America,56.130366,-106.346771
Michael Kors Holdings,2,0.3,1.7,1.2,11.5,Hong Kong,Asia,22.396428,114.109497
Juroku Bank,1.4,0.1,1.3,66.6,1.5,Japan,Asia,36.204824,138.252924
Aboitiz Equity Ventures,1.6,0.5,1.1,4.6,7.8,Philippines,Asia,12.879721,121.774017
Qatar Islamic Bank,0.9,0.3,0.6,20.1,4.6,Qatar,Asia,25.354826,51.183884
Rite Aid,26.1,-0.2,26.3,7.2,1.7,USA,North America,37.09024,-95.712891
Serco Group,7.8,0.4,7.4,5.3,4.7,UK,Europe,55.378051,-3.435973
Minmetals Development,25.7,0.1,25.6,7.6,2.6,China,Asia,35.86166,104.195397
Boliden,6.2,0.5,5.7,6.1,4.6,Sweden,Europe,60.128161,18.643501
Banco Carige,2,-0.1,2.1,65.1,1.8,Italy,Europe,41.87194,12.56738
Constellation Brands,2.7,0.4,2.3,8.3,8.4,USA,North America,37.09024,-95.712891
CYS Investments,0.3,0.4,-0.1,21.1,2.1,USA,North America,37.09024,-95.712891
Tate & Lyle,4.9,0.5,4.4,4.6,5.8,UK,Europe,55.378051,-3.435973
Salesforce.com,3,-0.3,3.3,5.5,25.8,USA,North America,37.09024,-95.712891
Corporation Bank,2.9,0.3,2.6,32.1,1.1,India,Asia,20.593684,78.96288
Tech Data,25.4,0.2,25.2,6.8,1.9,USA,North America,37.09024,-95.712891
Imperial Holdings,9.9,0.4,9.5,5.5,4.2,South Africa,Africa,-30.559482,22.937506
Tiffany & Co,3.8,0.4,3.4,4.6,8.8,USA,North America,37.09024,-95.712891
Piraeus Bank,3.9,-8.6,12.5,62.5,0.3,Greece,Europe,39.074208,21.824312
Korea Zinc,4.9,0.5,4.4,4.6,5.7,South Korea,Asia,35.907757,127.766922
Blom Bank,1.6,0.3,1.3,25,1.7,Lebanon,Asia,33.854721,35.862285
Manpower,20.7,0.2,20.5,7,4.5,USA,North America,37.09024,-95.712891
Aggreko,2.6,0.4,2.2,3.4,8,UK,Europe,55.378051,-3.435973
JB Hunt Transport,5.1,0.3,4.8,2.5,8.7,USA,North America,37.09024,-95.712891
Metropolitan Bank & Trust,1.5,0.3,1.2,21.7,6,Philippines,Asia,12.879721,121.774017
Airgas,4.9,0.3,4.6,5.5,7.9,USA,North America,37.09024,-95.712891
Aareal Bank,1.5,0.1,1.4,60.3,1.4,Germany,Europe,51.165691,10.451526
Senshu Ikeda Holdings,1.4,0,1.4,60.3,1.3,Japan,Asia,36.204824,138.252924
Timken,5,0.5,4.5,4.2,5.5,USA,North America,37.09024,-95.712891
FirstGroup,10.7,0.3,10.4,8.4,1.5,UK,Europe,55.378051,-3.435973
Japan Securities,0.2,0,0.2,59.9,0.7,Japan,Asia,36.204824,138.252924
Pepco Holdings,5.1,0.3,4.8,15.8,4.8,USA,North America,37.09024,-95.712891
Hero MotoCorp,4.6,0.5,4.1,1.9,6.2,India,Asia,20.593684,78.96288
Nanto Bank,1,0,1,58.2,1.3,Japan,Asia,36.204824,138.252924
Maxim Integrated Products,2.4,0.4,2,3.7,9.6,USA,North America,37.09024,-95.712891
Bank Muscat,1.1,0.4,0.7,20.5,3.3,Oman,Asia,21.512583,55.923255
Alexion Pharmaceuticals,1.1,0.3,0.8,2.6,18.2,USA,North America,37.09024,-95.712891
Gemdale,3.8,0.5,3.3,14.3,4.3,China,Asia,35.86166,104.195397
Balfour Beauty,15.4,0.1,15.3,9.2,2.9,UK,Europe,55.378051,-3.435973
Daishi Bank,0.9,0.1,0.8,56.8,1.4,Japan,Asia,36.204824,138.252924
STX Offshore,10,0.1,9.9,12.1,0.5,South Korea,Asia,35.907757,127.766922
Thomas Cook Group,15.3,-0.9,16.2,9.2,1.6,UK,Europe,55.378051,-3.435973
Macerich,0.9,0.3,0.6,9.3,8.6,USA,North America,37.09024,-95.712891
Varian Medical Systems,2.9,0.4,2.5,2.9,8,USA,North America,37.09024,-95.712891
Mashreq Bank,1.5,0.4,1.1,20.8,2.2,United Arab Emirates,Asia,23.424076,53.847818
Hellenic Petroleum,13.8,0.1,13.7,62.5,0.3,Greece,Europe,39.074208,21.824312
Shiga Bank,1.1,0.1,1,54.9,1.6,Japan,Asia,36.204824,138.252924
Hyakugo Bank,1,0.1,0.9,54.8,1.2,Japan,Asia,36.204824,138.252924
Permanent TSB Group,1.7,-1.3,3,53.9,1.7,Ireland,Europe,53.41291,-8.24389
Israel Discount Bank,2.9,0.2,2.7,53.8,1.9,Israel,Asia,31.046051,34.851612
Verisk Analytics,1.5,0.3,1.2,2.4,11,USA,North America,37.09024,-95.712891
Dubai Islamic Bank,1.3,0.3,1,26,2.2,United Arab Emirates,Asia,23.424076,53.847818
Lawson,5.9,0.3,5.6,6.4,7.1,Japan,Asia,36.204824,138.252924
FMC,3.7,0.4,3.3,4.4,8.3,USA,North America,37.09024,-95.712891
Ogaki Kyoritsu Bank,1,0.1,0.9,52.7,1.3,Japan,Asia,36.204824,138.252924
Linear Technology,1.3,0.4,0.9,1.9,8.8,USA,North America,37.09024,-95.712891
Abu Dhabi Islamic Bank,1,0.3,0.7,23.3,2.4,United Arab Emirates,Asia,23.424076,53.847818
Windstream,6.2,0.2,6,14,5.2,USA,North America,37.09024,-95.712891
Orient,2.6,0,2.6,52,1.9,Japan,Asia,36.204824,138.252924
ITV,3.6,0.4,3.2,4.4,7.8,UK,Europe,55.378051,-3.435973
Randgold Resources,1.3,0.4,0.9,3.1,7.7,Channel Islands,Europe,49.433333,-2.316667
Toho Bank,0.7,0.1,0.6,51.4,0.8,Japan,Asia,36.204824,138.252924
Ezdan Holding Group,0.2,0.1,0.1,10.7,11.7,Qatar,Asia,25.354826,51.183884
Central Bank of India,4,0.1,3.9,45.2,1,India,Asia,20.593684,78.96288
OPAP,5.2,0.7,4.5,2.3,2.8,Greece,Europe,39.074208,21.824312
Vopak,1.7,0.4,1.3,6.6,7.9,The Netherlands,Europe,52.132633,5.291266
San-In Godo Bank,1.1,0.1,1,50.1,1.4,Japan,Asia,36.204824,138.252924
Aspen Pharmacare Holdings,1.9,0.4,1.5,3.8,9.7,South Africa,Africa,-30.559482,22.937506
Higo Bank,0.9,0.1,0.8,49.9,1.4,Japan,Asia,36.204824,138.252924
Shanghai Industrial,2.5,0.4,2.1,14.9,3.3,Hong Kong,Asia,22.396428,114.109497
RMB Holdings,0.6,0.6,0,3.3,6.1,South Africa,Africa,-30.559482,22.937506
JC Penney,13,-1,14,9.8,3.4,USA,North America,37.09024,-95.712891
PBF Energy,20.1,0,20.1,4.3,3.8,USA,North America,37.09024,-95.712891
Hyakujushi Bank,0.9,0.1,0.8,48.7,1.2,Japan,Asia,36.204824,138.252924
Grasim Industries,4.9,0.5,4.4,7.2,5,India,Asia,20.593684,78.96288
Bolsas & Mercados,0.4,0.2,0.2,48.2,2.2,Spain,Europe,40.463667,-3.74922
Nabors Industries,6.8,0.2,6.6,12.7,5,Bermuda,North America,32.321384,-64.75737
E-Trade Financial,2.2,-0.1,2.3,47.4,3.1,USA,North America,37.09024,-95.712891
Eutelsat Communications,1.5,0.4,1.1,6.3,8,France,Europe,46.227638,2.213749
LIG Insurance,8,0.2,7.8,13.9,1.1,South Korea,Asia,35.907757,127.766922
Hanwa,18.9,0.1,18.8,7.1,0.8,Japan,Asia,36.204824,138.252924
Carphone Warehouse,0,1.2,-1.2,1.2,1.4,UK,Europe,55.378051,-3.435973
DIA,13.4,0.2,13.2,4.4,4.9,Spain,Europe,40.463667,-3.74922
Syndicate Bank,3.2,0.3,2.9,35.8,1.3,India,Asia,20.593684,78.96288
Kiyo Holdings,1,0.1,0.9,46.6,1.2,Japan,Asia,36.204824,138.252924
Juniper Networks,4.4,0.2,4.2,9.8,10.4,USA,North America,37.09024,-95.712891
Musashino Bank,0.9,0.1,0.8,46.1,1.3,Japan,Asia,36.204824,138.252924
Masco,7.7,-0.1,7.8,6.9,7.1,USA,North America,37.09024,-95.712891
China Gezhouba,8.3,0.2,8.1,12.3,2.9,China,Asia,35.86166,104.195397
Keiyo Bank,0.9,0.1,0.8,45.8,1.6,Japan,Asia,36.204824,138.252924
LinkedIn,1,0,1,1.4,19.1,USA,North America,37.09024,-95.712891
Jyske Bank,1.7,0.1,1.6,45.6,2.5,Denmark,Europe,56.26392,9.501785
Nürnberger,4.7,0.1,4.6,28.9,0.9,Germany,Europe,51.165691,10.451526
Foot Locker,6.2,0.4,5.8,3.4,4.9,USA,North America,37.09024,-95.712891
CNO Financial Group,4.3,0.2,4.1,34.1,2.6,USA,North America,37.09024,-95.712891
Tim Hortons,3.1,0.4,2.7,2.3,7.9,Canada,North America,56.130366,-106.346771
Doosan Heavy Industries,8.6,0,8.6,12.6,3.5,South Korea,Asia,35.907757,127.766922
Cattolica Assicurazioni,5.2,0.1,5.1,23.2,1,Italy,Europe,41.87194,12.56738
Tronox,1.8,1.1,0.7,5.5,2.4,USA,North America,37.09024,-95.712891
Great Wall Technology,15.2,0,15.2,8.5,0.2,China,Asia,35.86166,104.195397
Kagoshima Bank,0.9,0.1,0.8,43.3,1.4,Japan,Asia,36.204824,138.252924
Meiji Holdings,13.4,0.1,13.3,9.1,3.3,Japan,Asia,36.204824,138.252924
Terumo,4.7,0.3,4.4,8.3,8.3,Japan,Asia,36.204824,138.252924
Indian Overseas Bank,3.9,0.2,3.7,43.1,1,India,Asia,20.593684,78.96288
SL Green Realty,1.4,0.2,1.2,14.4,7.8,USA,North America,37.09024,-95.712891
Bank of Queensland,2.8,0,2.8,43,3.1,Australia,Oceania,-25.274398,133.775136
Renesas Electronics,10.7,-0.8,11.5,10.4,1.1,Japan,Asia,36.204824,138.252924
Invesco Mortgage Capital,0.6,0.3,0.3,18.9,2.9,USA,North America,37.09024,-95.712891
Banca Popolare di Sondrio,2,0,2,42.7,1.8,Italy,Europe,41.87194,12.56738
OfficeMax,6.9,0.4,6.5,3.8,1,USA,North America,37.09024,-95.712891
Suruga Bank,1.2,0.2,1,42.2,3.8,Japan,Asia,36.204824,138.252924
Taiwan Business Bank,0.9,0.1,0.8,41.8,1.6,Taiwan,Asia,23.69781,120.960515
IKB Deutsche,2.6,-0.7,3.3,41.8,0.4,Germany,Europe,51.165691,10.451526
OGE Energy,3.7,0.4,3.3,9.9,6.7,USA,North America,37.09024,-95.712891
CorpBanca,2,0.2,1.8,28.3,4.7,Chile,South America,-35.675147,-71.542969
PhosAgro,3.1,0.6,2.5,3.4,5.5,Russia,Europe,61.52401,105.318756
Green Mountain Coffee,4,0.4,3.6,3.5,8.1,USA,North America,37.09024,-95.712891
China Agri-Industries,11.8,0.2,11.6,9.6,2.9,Hong Kong,Asia,22.396428,114.109497
Vietin Bank,2.6,0.3,2.3,24.2,2.4,Vietnam,Asia,14.058324,108.277199
People's United Financial,1.3,0.2,1.1,30.3,40.6,USA,North America,37.09024,-95.712891
Popular,2.2,0.2,2,36.5,2.9,USA,North America,37.09024,-95.712891
Gannett,5.4,0.4,5,6.4,5,USA,North America,37.09024,-95.712891
AOL,2.2,1,1.2,2.8,2.6,USA,North America,37.09024,-95.712891
Hokkoku Bank,0.8,0.1,0.7,41.3,1.3,Japan,Asia,36.204824,138.252924
Quanta Services,5.9,0.3,5.6,5.1,6.3,USA,North America,37.09024,-95.712891
CC Media Holdings,6.2,-0.4,6.6,16.3,0.2,USA,North America,37.09024,-95.712891
Luzhou Laojiao,1.3,0.5,0.8,1.9,6.6,China,Asia,35.86166,104.195397
Kimberly-Clark de Mexico,2.3,0.3,2,2.2,9.6,Mexico,North America,23.634501,-102.552784
DLF,1.9,0.2,1.7,12.4,8.6,India,Asia,20.593684,78.96288
Credito Emiliano,1.9,0.2,1.7,40.5,1.7,Italy,Europe,41.87194,12.56738
Konica Minolta,9.3,0.2,9.1,10.5,4.2,Japan,Asia,36.204824,138.252924
Whitbread,2.8,0.4,2.4,4.7,7,UK,Europe,55.378051,-3.435973
AMEC,6.8,0.4,6.4,4,4.8,UK,Europe,55.378051,-3.435973
Taiheiyo Cement,8.8,0.1,8.7,11.7,2.9,Japan,Asia,36.204824,138.252924
Hugo Boss,3,0.4,2.6,2.1,7.7,Germany,Europe,51.165691,10.451526
Credito Valtellinese,1.4,-0.4,1.8,39.5,0.6,Italy,Europe,41.87194,12.56738
Credit Saison,4.3,0.1,4.2,25.3,4.6,Japan,Asia,36.204824,138.252924
Ayala,2.5,0.3,2.2,11.9,8.2,Philippines,Asia,12.879721,121.774017
CJ Cheiljedang,8.8,0.2,8.6,11.6,4,South Korea,Asia,35.907757,127.766922
Emirates Integrated Telecom,2.7,0.5,2.2,3.8,5.8,United Arab Emirates,Asia,23.424076,53.847818
Nagoya Railroad,7.3,0.1,7.2,13.6,2.8,Japan,Asia,36.204824,138.252924
Anadolu Efes,3.6,0.3,3.3,6.5,9,Turkey,Europe,38.963745,35.243322
ProSiebenSat1 Media,3,0.4,2.6,7.1,7.9,Germany,Europe,51.165691,10.451526
Bank of Iwate,0.5,0.1,0.4,38.6,0.8,Japan,Asia,36.204824,138.252924
Bank of Nagoya,0.8,0,0.8,38.5,0.9,Japan,Asia,36.204824,138.252924
Saudi Hollandi Bank,0.7,0.3,0.4,18.3,3,Saudi Arabia,Asia,23.885942,45.079162
Saras,15.7,-0.1,15.8,5.2,1.1,Italy,Europe,41.87194,12.56738
E.Sun Financial,0.9,0.1,0.8,38.2,2.9,Taiwan,Asia,23.69781,120.960515
Church & Dwight,2.9,0.3,2.6,4.1,8.5,USA,North America,37.09024,-95.712891
Harbinger Group,4.5,0.1,4.4,26.9,1.2,USA,North America,37.09024,-95.712891
Shiseido,8.2,0.2,8,8.5,5.7,Japan,Asia,36.204824,138.252924
J Front Retailing,11.6,0.2,11.4,9.4,3.8,Japan,Asia,36.204824,138.252924
Hanjin Shipping,10,-0.6,10.6,10.3,1.3,South Korea,Asia,35.907757,127.766922
Air Canada,12.2,0.1,12.1,9.1,0.7,Canada,North America,56.130366,-106.346771
Zodiac Aerospace,4.3,0.4,3.9,5.1,6.4,France,Europe,46.227638,2.213749
Eurazeo,5.7,-0.3,6,17.7,3.6,France,Europe,46.227638,2.213749
First Niagara Financial,1.5,0.2,1.3,36.8,3,USA,North America,37.09024,-95.712891
Takashimaya,10.6,0.1,10.5,9.8,3,Japan,Asia,36.204824,138.252924
Level 3 Communications,6.4,-0.4,6.8,13.3,4.6,USA,North America,37.09024,-95.712891
Hokuriku Electric Power,6,-0.1,6.1,16.4,2.4,Japan,Asia,36.204824,138.252924
LG Uplus,10.2,-0.1,10.3,9.9,3.5,South Korea,Asia,35.907757,127.766922
Lojas Americanas,5.5,0.2,5.3,5.3,8.9,Brazil,South America,-14.235004,-51.92528
Vesuvius,2.5,0.9,1.6,3,1.7,UK,Europe,55.378051,-3.435973
Furukawa Electric,11.1,-0.1,11.2,9.5,1.6,Japan,Asia,36.204824,138.252924
Sage Group,2.2,0.5,1.7,4,6.1,UK,Europe,55.378051,-3.435973
Mohawk Industries,5.8,0.3,5.5,6.3,7.9,USA,North America,37.09024,-95.712891
Fuyo General Lease,5.1,0.2,4.9,20.3,1.2,Japan,Asia,36.204824,138.252924
Toyo Seikan Kaisha,8.5,0,8.5,11.5,2.9,Japan,Asia,36.204824,138.252924
UCO Bank,3.1,0.2,2.9,35.4,0.7,India,Asia,20.593684,78.96288
Incitec Pivot,3.6,0.5,3.1,7.3,5.7,Australia,Oceania,-25.274398,133.775136
Telecom of New Zealand,3.5,0.9,2.6,2.9,3.4,New Zealand,Oceania,-40.900557,174.885971
China Aviation Oil,14.8,0.1,14.7,1.6,0.6,Singapore,Asia,1.352083,103.819836
Acer,14.8,-0.1,14.9,7.8,2.5,Taiwan,Asia,23.69781,120.960515
DRB-Hicom,2.2,0.4,1.8,12.9,1.5,Malaysia,Asia,4.210484,101.975766
American Equity Investment,1.6,0.1,1.5,35.1,0.9,USA,North America,37.09024,-95.712891
Yamanashi Chuo Bank,0.6,0.1,0.5,35.1,0.8,Japan,Asia,36.204824,138.252924
Grupa Lotos,10.2,0.3,9.9,6.5,1.8,Poland,Europe,51.919438,19.145136
Oriental Bank of Commerce,3.4,0.2,3.2,35,1.5,India,Asia,20.593684,78.96288
Calloway Real Estate,0.5,0.9,-0.4,6.5,3.8,Canada,North America,56.130366,-106.346771
DGB Financial Group,1.7,0.2,1.5,32.2,2,South Korea,Asia,35.907757,127.766922
Getinge,3.7,0.4,3.3,6.5,7.3,Sweden,Europe,60.128161,18.643501
Kimco Realty,0.9,0.3,0.6,9.7,9,USA,North America,37.09024,-95.712891
Chicago Bridge & Iron,5.6,0.3,5.3,4.3,6.1,The Netherlands,Europe,52.132633,5.291266
CFS Retail Property,0.8,0.4,0.4,8.6,6,Australia,Oceania,-25.274398,133.775136
Hainan Airlines,4.4,0.3,4.1,14.9,4.5,China,Asia,35.86166,104.195397
China Hongqiao Group,3.9,0.9,3,7.1,3,China,Asia,35.86166,104.195397
Total Access Communication,2.9,0.4,2.5,3.3,7.7,Thailand,Asia,15.870032,100.992541
Imerys,5.1,0.4,4.7,6.3,5.2,France,Europe,46.227638,2.213749
Navistar International,12.5,-3,15.5,8.5,2.9,USA,North America,37.09024,-95.712891
Laurentian Bank,1.5,0.1,1.4,34.3,1.2,Canada,North America,56.130366,-106.346771
H&R Real Estate,0.8,0.5,0.3,10.2,4.5,Canada,North America,56.130366,-106.346771
LS Corp,10.6,0.2,10.4,9.5,2.6,South Korea,Asia,35.907757,127.766922
MISC,3.1,0.2,2.9,12.2,7.4,Malaysia,Asia,4.210484,101.975766
DCC,14.3,0.1,14.2,5,2.8,Ireland,Europe,53.41291,-8.24389
Awa Bank,0.8,0,0.8,34.1,1.4,Japan,Asia,36.204824,138.252924
Ternium,8.6,0.1,8.5,10.9,4,Luxembourg,Europe,49.815273,6.129583
Inchcape,9.6,0.3,9.3,5.5,3.6,UK,Europe,55.378051,-3.435973
Zhongjin Gold,5.3,0.3,5,3,6.9,China,Asia,35.86166,104.195397
Oita Bank,0.7,0.1,0.6,33.7,0.6,Japan,Asia,36.204824,138.252924
Alpha Natural Resources,7,-2.4,9.4,13.1,1.9,USA,North America,37.09024,-95.712891
Toll Brothers,2,0.5,1.5,6.1,5.8,USA,North America,37.09024,-95.712891
Aichi Bank,0.6,0,0.6,33.5,0.6,Japan,Asia,36.204824,138.252924
East West Bancorp,1.1,0.3,0.8,22.5,3.5,USA,North America,37.09024,-95.712891
Thanachart Capital,2.4,0.2,2.2,33.5,2,Thailand,Asia,15.870032,100.992541
Far EasTone Telecom,3,0.4,2.6,3.4,7.6,Taiwan,Asia,23.69781,120.960515
Willis Group Holdings,3.5,-0.4,3.9,15.1,6.6,UK,Europe,55.378051,-3.435973
Calsonic Kansei,9.4,0.3,9.1,4.1,1.2,Japan,Asia,36.204824,138.252924
Interactive Brokers Group,1.2,0,1.2,33.2,0.7,USA,North America,37.09024,-95.712891
Jaccs,1.3,0.1,1.2,33.1,0.9,Japan,Asia,36.204824,138.252924
Kuala Lumpur Kepong,3.3,0.4,2.9,3.7,6.9,Malaysia,Asia,4.210484,101.975766
Almarai,2.6,0.4,2.2,5.2,7.1,Saudi Arabia,Asia,23.885942,45.079162
Energizer Holdings,4.6,0.4,4.2,6.7,5.8,USA,North America,37.09024,-95.712891
Swedish Match,1.8,0.4,1.4,2.2,6.3,Sweden,Europe,60.128161,18.643501
Mirvac Group,1.6,0.4,1.2,8.3,6.1,Australia,Oceania,-25.274398,133.775136
Shanxi Lu'an Environmental,3.1,0.4,2.7,6.4,6.7,China,Asia,35.86166,104.195397
Doha Bank,0.8,0.4,0.4,15.2,2.8,Qatar,Asia,25.354826,51.183884
Transurban Group,1.2,0.1,1.1,10.1,9.5,Australia,Oceania,-25.274398,133.775136
Qinghai Salt Lake,15.2,0.4,14.8,4.7,6.8,China,Asia,35.86166,104.195397
Inventec,13.9,0.1,13.8,6.9,1.3,Taiwan,Asia,23.69781,120.960515
Cabot Oil & Gas,1.2,0.1,1.1,4.6,14.1,USA,North America,37.09024,-95.712891
Monster Beverage,2.1,0.3,1.8,1,8,USA,North America,37.09024,-95.712891
Banque Centrale Populaire,1.9,0.2,1.7,32,3.9,Morocco,Africa,31.791702,-7.09262
Gemalto,2.9,0.3,2.6,3.6,8.1,The Netherlands,Europe,52.132633,5.291266
Iliad,4.2,0.2,4,6.3,11,France,Europe,46.227638,2.213749
Tomony Holdings,0.7,0.1,0.6,31.7,0.7,Japan,Asia,36.204824,138.252924
BayWa,13.5,0.1,13.4,5.9,1.7,Germany,Europe,51.165691,10.451526
Teijin,10.3,0.1,10.2,9.2,2.3,Japan,Asia,36.204824,138.252924
Shikoku Bank,0.5,0,0.5,31.6,0.7,Japan,Asia,36.204824,138.252924
Andhra Bank,2.5,0.3,2.2,24.7,1,India,Asia,20.593684,78.96288
Akita Bank,0.6,0,0.6,31.6,0.5,Japan,Asia,36.204824,138.252924
DVB Bank,1.5,0.2,1.3,31.4,1.5,Germany,Europe,51.165691,10.451526
Prysmian,10.1,0.2,9.9,7.9,4.9,Italy,Europe,41.87194,12.56738
GS Engineering,8.3,0.1,8.2,10.8,2.3,South Korea,Asia,35.907757,127.766922
Nokian Tyres,2.1,0.4,1.7,2.7,6.1,Finland,Europe,61.92411,25.748151
Tokyo Tomin Bank,0.6,0,0.6,31.4,0.4,Japan,Asia,36.204824,138.252924
Showa Denko,8.5,0.1,8.4,10.5,2.2,Japan,Asia,36.204824,138.252924
Tenet Healthcare,9.1,0.1,9,9,4.6,USA,North America,37.09024,-95.712891
Sealed Air,7.6,-1.1,8.7,10,4.7,USA,North America,37.09024,-95.712891
Toho Holdings,13.4,0.1,13.3,6.5,1.5,Japan,Asia,36.204824,138.252924
CapitaMall Trust,0.5,0.4,0.1,8.1,5.8,Singapore,Asia,1.352083,103.819836
Southwestern Energy,2.7,-0.7,3.4,6.7,13.5,USA,North America,37.09024,-95.712891
H&R Block,2.7,0.4,2.3,3.9,7.5,USA,North America,37.09024,-95.712891
Dixons Retail,13.3,-0.3,13.6,4.7,1.9,UK,Europe,55.378051,-3.435973
Edwards Lifescience,1.9,0.3,1.6,2.2,9.4,USA,North America,37.09024,-95.712891
Seiko Epson,10.6,0.1,10.5,9,1.9,Japan,Asia,36.204824,138.252924
Hillshire Brands,4.1,0.7,3.4,2.5,4.2,USA,North America,37.09024,-95.712891
Tochigi Bank,0.6,0,0.6,30.4,0.4,Japan,Asia,36.204824,138.252924
Smithfield Foods,13.1,0.2,12.9,7.6,3.7,USA,North America,37.09024,-95.712891
Penske Automotive,13.2,0.2,13,5.4,3,USA,North America,37.09024,-95.712891
Yokohama Rubber,6.5,0.4,6.1,6.2,3.3,Japan,Asia,36.204824,138.252924
Dragon Oil,1.2,0.6,0.6,3.8,4.8,United Arab Emirates,Asia,23.424076,53.847818
Nippon Steel Trading,13.1,0.1,13,4,0.4,Japan,Asia,36.204824,138.252924
Eighteenth Bank,0.6,0,0.6,29.9,0.5,Japan,Asia,36.204824,138.252924
Range Resources,1.5,0,1.5,6.7,13.4,USA,North America,37.09024,-95.712891
Inner Mongolia Baotou Steel,6.8,0.1,6.7,7.9,6.4,China,Asia,35.86166,104.195397
Aomori Bank,0.5,0,0.5,29.8,0.7,Japan,Asia,36.204824,138.252924
Porto Seguro,6.1,0.3,5.8,8.8,4.4,Brazil,South America,-14.235004,-51.92528
Chipotle Mexican Grill,2.7,0.3,2.4,1.7,10,USA,North America,37.09024,-95.712891
NCC Group,8.8,0.3,8.5,5.9,2.9,Sweden,Europe,60.128161,18.643501
Symetra Financial,2.1,0.2,1.9,29.5,1.7,USA,North America,37.09024,-95.712891
CareFusion,3.6,0.3,3.3,8.4,7.6,USA,North America,37.09024,-95.712891
WEG,3,0.3,2.7,4.3,8.1,Brazil,South America,-14.235004,-51.92528
TransDigm Group,1.8,0.3,1.5,5.6,7.9,USA,North America,37.09024,-95.712891
Shanghai Material Trading,12.8,0,12.8,1.5,0.3,China,Asia,35.86166,104.195397
Commerce Bancshares,1.1,0.3,0.8,22.2,3.6,USA,North America,37.09024,-95.712891
Metcash,12.8,0.1,12.7,4.1,3.9,Australia,Oceania,-25.274398,133.775136
Kesko,12.8,0.2,12.6,5.8,3.2,Finland,Europe,61.92411,25.748151
Motor Oil,12.8,0.1,12.7,3.4,1.2,Greece,Europe,39.074208,21.824312
Fraport,3.1,0.3,2.8,12.7,5.2,Germany,Europe,51.165691,10.451526
